CLIENTE_ID,CLIENTE_NOME,EQUIPAMENTO_ID,TOMBO,EQUIPAMENTO_NOME,SITUACAO,ORGAO_CLIENTE,DATA_LOCACAO,CONTRATO,ITEM_DO_CONTRATO,DESCRICAO_ITEM,QUANTIDADE_ITEM_NO_CONTRATO,ID_EVENTO,TIPO_EQUIPAMENTO,CONTRACT_ID
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,86912,TRANSFORMADOR 2000VA FORCELINE,Alugado,,05/09/2025,,,,,,,
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,86911,TRANSFORMADOR 2000VA FORCELINE,Alugado,,19/08/2025,,,,,,,
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,86909,TRANSFORMADOR 2000VA FORCELINE,Alugado,,19/08/2025,,,,,,,
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,68739,TRANSFORMADOR 2000VA FORCELINE,Alugado,,19/08/2025,,,,,,,
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,68740,TRANSFORMADOR 2000VA FORCELINE,Alugado,,19/08/2025,,,,,,,
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,53009,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS M2040DN/L NS VR92804919,Substituição Alugado,AS SISTEMAS,28/01/2026,GOVERNO MUNICIPAL DE URUOCA - FUNDEB- FUNDO DES.DA EDUCACAO BASICA E VAL MAGIST,Outsourcing de Impressão P&B,PANTUM BM5100FDW,6,708,,257
11581,"PM DE URUOCA - SEC . GESTÃO PÚBLICA, PLANEJAMENTO E INOVAÇÃO",,86913,TRANSFORMADOR 2000VA FORCELINE,Alugado,,19/08/2025,,,,,,,
11581,"PM DE URUOCA - SEC . GESTÃO PÚBLICA, PLANEJAMENTO E INOVAÇÃO",,54806,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS M2040DN NS VR92X06710,Substituição Alugado,AS SISTEMAS,28/01/2026,PREFEITURA MUNICIPAL DE URUOCA - GESTÃO DE CONTRATO,Outsourcing de Impressão P&B,PANTUM BM5100FDW,2,712,,259
11582,"PM DE URUOCA - SEC. DESENVOLVIMENTO SOCIAL, TRABALHO, EMPREENDORISMO E RENDA",,83888,MULTIFUNCIONAL JATO DE TINTA CANON GX7010 NS KNDX23453,Alugado,AS SISTEMAS,19/08/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL E CIDADANIA,Outsourcing de Impressão Colorida,CANON 6010,1,710,,258
11584,PM DE URUOCA - SEC. MUNICIPAL DA SAÚDE,,79303,TRANSFORMADOR 2000VA FORCELINE,Alugado,,01/09/2025,,,,,,,
11584,PM DE URUOCA - SEC. MUNICIPAL DA SAÚDE,,83898,TRANSFORMADOR 2000VA FORCELINE,Alugado,,19/08/2025,,,,,,,
11584,PM DE URUOCA - SEC. MUNICIPAL DA SAÚDE,,83897,TRANSFORMADOR 2000VA FORCELINE,Alugado,AS SISTEMAS,01/09/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDO MUNICIPAL DE SAÚDE,Outsourcing de Impressão P&B,PANTUM BM5100FDW,3,714,,260
11584,PM DE URUOCA - SEC. MUNICIPAL DA SAÚDE,,83885,MULTIFUNCIONAL LASER MONO PANTUM BM5110ADW NS,Alugado,AS SISTEMAS,19/08/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDO MUNICIPAL DE SAÚDE,Outsourcing de Impressão P&B,PANTUM BM5100FDW,3,714,,260
11584,PM DE URUOCA - SEC. MUNICIPAL DA SAÚDE,,88790,MULTIFUNCIONAL LASER MONO PANTUM BM5110ADW NS CR7RV0011L,Alugado,AS SISTEMAS,01/09/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDO MUNICIPAL DE SAÚDE,Outsourcing de Impressão P&B,PANTUM BM5100FDW,3,714,,260
11584,PM DE URUOCA - SEC. MUNICIPAL DA SAÚDE,,88786,MULTIFUNCIONAL LASER MONO PANTUM BM5110ADW NS CR7RV0012M,Alugado,AS SISTEMAS,01/09/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDO MUNICIPAL DE SAÚDE,Outsourcing de Impressão P&B,PANTUM BM5100FDW,3,714,,260
11584,PM DE URUOCA - SEC. MUNICIPAL DA SAÚDE,,88785,MULTIFUNCIONAL LASER MONO PANTUM BM5110ADW NS CR7RV00134,Alugado,AS SISTEMAS,01/09/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDO MUNICIPAL DE SAÚDE,Outsourcing de Impressão P&B,PANTUM BM5100FDW,3,714,,260
11584,PM DE URUOCA - SEC. MUNICIPAL DA SAÚDE,,88615,TRANSFORMADOR 2000VA FORCELINE,Alugado,,01/09/2025,,,,,,,
