id,name,is_kit,created_at,updated_at,deleted_at
100,IMPRESSORA DE CARTOES,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
101,EXTENSOR USB,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
102,GAVETA P/ HD,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
103,REMOTEPLAY,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
104,TRANSCORTEC,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
105,PULVERIZADOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
106,ALICATE,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
107,MULTIMETRO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
108,CORTADOR DE CHIPS,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
109,MESA P/ ESCRITORIO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
110,ACCESS POINT,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
111,VIDEO WALL CONTROLLER,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
112,GPS DE MAO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
113,TRIPE P/ PROJETOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
114,FLIP CHART,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
115,VENTILADOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
116,TOTEM MULTIMIDIA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
117,ASPIRADOR CLINICO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
118,CANETA P/ ASSINATURA DIGITAL,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
119,BEBEDOURO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
120,REFRIGERADOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
121,LUPA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
122,MACACO HIDRAULICO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
123,RESPIRADOR DE OXIGENIO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
124,THINKCENTRE,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
